short_name,age,height_cm,weight_kg,nationality,club_name,league_name,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
R. Nelson,20,180,75,England,Arsenal,English Premier League,72,82,5000000,39000,"RW, LW, LM",Right,1,3,4,High/Medium,Lean,Yes,10500000.0,NoTag,RES,24.0,,2016-12-23,2022.0,,,85.0,64.0,66.0,77.0,34.0,53.0,"Flair, Technical Dribbler (AI)",65,69,39,68,55,77,66,67,58,76,85,85,83,64,76,67,41,67,52,54,42,42,70,67,54,60,,37,37,12,12,11,11,15,67+2,67+2,67+2,72+0,71+0,71+0,71+0,72+0,71+2,71+2,71+2,72+2,65+2,65+2,65+2,72+2,58+2,53+2,53+2,53+2,58+2,54+2,43+2,43+2,43+2,54+2
H. Wolf,21,179,68,Austria,Borussia Mönchengladbach,German 1. Bundesliga,72,82,5000000,18000,CAM,Left,1,3,4,Medium/Medium,Lean,No,,NoTag,SUB,11.0,RB Leipzig,,2021.0,,,78.0,67.0,67.0,77.0,34.0,60.0,"Flair, Technical Dribbler (AI)",62,68,56,71,60,79,72,63,63,76,81,76,77,70,74,67,73,68,57,65,54,38,70,69,65,72,,36,35,13,10,13,6,8,69+2,69+2,69+2,73+0,72+0,72+0,72+0,73+0,72+2,72+2,72+2,72+2,67+2,67+2,67+2,72+2,57+2,54+2,54+2,54+2,57+2,54+2,47+2,47+2,47+2,54+2
K. Rüegg,21,173,77,Switzerland,Hellas Verona,Italian Serie A,72,82,4600000,12000,"RB, CDM, CM",Right,1,3,3,High/Medium,Stocky,No,9200000.0,NoTag,SUB,19.0,,2020-09-01,2025.0,,,81.0,42.0,64.0,70.0,68.0,80.0,,67,41,64,67,45,70,58,36,68,68,83,79,70,68,76,46,70,83,80,35,77,63,63,59,30,71,,72,70,6,9,8,11,13,60+2,60+2,60+2,65+0,63+0,63+0,63+0,65+0,64+2,64+2,64+2,68+2,65+2,65+2,65+2,68+2,70+2,69+2,69+2,69+2,70+2,70+2,70+2,70+2,70+2,70+2
R. Baku,22,176,75,Germany,1. FSV Mainz 05,German 1. Bundesliga,72,82,4500000,15000,"RB, CM, RM",Right,1,4,3,High/Medium,Normal,No,9000000.0,NoTag,RB,34.0,,2017-08-16,2022.0,,,83.0,59.0,68.0,75.0,65.0,66.0,,65,61,51,76,51,75,59,45,67,73,79,86,80,70,87,61,76,74,59,54,73,73,64,66,51,61,,62,64,12,8,7,10,9,66+2,66+2,66+2,71+0,69+0,69+0,69+0,71+0,71+2,71+2,71+2,72+2,70+2,70+2,70+2,72+2,71+2,70+2,70+2,70+2,71+2,70+2,66+2,66+2,66+2,70+2
A. Fein,21,187,78,Germany,FC Bayern München,German 1. Bundesliga,72,82,4700000,27000,CDM,Right,1,4,3,Medium/Medium,Normal,No,8700000.0,NoTag,SUB,30.0,,2018-07-06,2023.0,,,57.0,57.0,68.0,72.0,67.0,74.0,,57,56,65,75,48,71,59,48,74,75,59,55,67,69,68,60,65,78,77,59,64,66,57,69,47,71,,72,68,10,8,12,12,6,63+2,63+2,63+2,65+0,66+0,66+0,66+0,65+0,68+2,68+2,68+2,67+2,71+2,71+2,71+2,67+2,68+2,71+2,71+2,71+2,68+2,67+2,68+2,68+2,68+2,67+2
Jean Lucas,22,181,78,Brazil,Olympique Lyonnais,French Ligue 1,72,82,4900000,33000,"CM, CDM",Right,1,3,3,Medium/Medium,Lean,Yes,10300000.0,NoTag,SUB,22.0,,2019-06-25,2024.0,,,68.0,62.0,70.0,73.0,64.0,72.0,Long Shot Taker (AI),58,52,61,78,53,74,64,45,75,75,69,67,67,73,72,77,58,71,73,74,73,62,65,72,47,75,,66,61,12,7,14,13,11,67+2,67+2,67+2,69+0,70+0,70+0,70+0,69+0,72+2,72+2,72+2,70+2,72+2,72+2,72+2,70+2,67+2,70+2,70+2,70+2,67+2,66+2,66+2,66+2,66+2,66+2
H. Boudaoui,20,175,61,Algeria,OGC Nice,French Ligue 1,72,82,5000000,17000,"CM, RM",Right,1,3,3,High/High,Lean,No,10500000.0,NoTag,SUB,28.0,,2019-09-02,2023.0,,,75.0,63.0,69.0,76.0,70.0,70.0,,62,66,71,74,50,76,70,58,69,77,76,74,78,70,75,65,69,71,69,61,69,69,66,71,51,72,,72,71,7,6,7,13,8,69+2,69+2,69+2,71+0,71+0,71+0,71+0,71+0,72+2,72+2,72+2,72+2,72+2,72+2,72+2,72+2,71+2,71+2,71+2,71+2,71+2,71+2,71+2,71+2,71+2,71+2
Ronaldo Vieira,21,178,70,England,Sampdoria,Italian Serie A,72,81,4500000,9000,"CDM, CM",Right,1,3,3,Medium/Medium,Normal,No,9000000.0,NoTag,SUB,4.0,,2018-08-01,2023.0,,,75.0,58.0,66.0,72.0,68.0,76.0,,56,53,53,74,50,71,63,49,67,73,73,76,73,67,78,65,67,77,75,62,80,68,58,66,57,71,,72,68,12,10,7,6,8,64+2,64+2,64+2,67+0,66+0,66+0,66+0,67+0,68+2,68+2,68+2,68+2,69+2,69+2,69+2,68+2,70+2,71+2,71+2,71+2,70+2,69+2,69+2,69+2,69+2,69+2
D. Geiger,22,173,65,Germany,TSG 1899 Hoffenheim,German 1. Bundesliga,72,81,4700000,20000,CM,Right,1,3,3,Medium/Medium,Lean,Yes,8900000.0,NoTag,RCM,8.0,,2016-07-01,2022.0,,,55.0,47.0,71.0,78.0,54.0,58.0,Injury Prone,57,38,29,80,45,75,60,48,76,80,66,46,85,73,83,57,54,76,42,58,75,63,58,75,40,70,,51,47,7,8,12,10,5,56+2,56+2,56+2,66+0,65+0,65+0,65+0,66+0,71+2,71+2,71+2,68+2,72+2,72+2,72+2,68+2,64+2,68+2,68+2,68+2,64+2,61+2,56+2,56+2,56+2,61+2
Ander Guevara,22,180,73,Spain,Real Sociedad,Spain Primera Division,72,81,4700000,17000,CM,Right,1,3,3,Medium/Medium,Normal,No,10800000.0,NoTag,SUB,16.0,,2017-07-01,2024.0,,,55.0,62.0,69.0,71.0,66.0,61.0,,60,70,50,76,37,71,61,59,72,74,58,53,66,68,66,47,61,72,58,69,53,63,66,70,51,68,,76,62,14,12,11,14,14,63+2,63+2,63+2,68+0,68+0,68+0,68+0,68+0,70+2,70+2,70+2,68+2,72+2,72+2,72+2,68+2,67+2,69+2,69+2,69+2,67+2,65+2,64+2,64+2,64+2,65+2
A. Saelemaekers,21,180,66,Belgium,Milan,Italian Serie A,72,81,4800000,21000,"RW, CAM, LW",Right,1,4,3,Medium/High,Lean,No,9100000.0,NoTag,SUB,56.0,,2020-07-01,2024.0,,,78.0,60.0,71.0,76.0,59.0,60.0,Outside Foot Shot,78,59,45,73,65,76,71,68,70,74,79,77,83,67,73,59,77,65,53,62,67,61,71,64,41,68,,62,58,9,6,9,12,12,65+2,65+2,65+2,72+0,69+0,69+0,69+0,72+0,71+2,71+2,71+2,72+2,69+2,69+2,69+2,72+2,68+2,65+2,65+2,65+2,68+2,66+2,61+2,61+2,61+2,66+2
G. Pezzella,22,187,85,Italy,Parma,Italian Serie A,72,80,4100000,17000,"LB, LM",Left,1,3,3,Medium/Medium,Normal,No,8200000.0,NoTag,SUB,3.0,,2020-09-01,2024.0,,,76.0,52.0,64.0,70.0,67.0,74.0,,72,49,68,69,36,72,50,37,66,71,77,76,66,69,62,67,57,73,77,48,72,64,59,56,45,60,,70,68,11,14,6,7,13,64+2,64+2,64+2,66+0,65+0,65+0,65+0,66+0,65+2,65+2,65+2,68+2,66+2,66+2,66+2,68+2,70+2,68+2,68+2,68+2,70+2,70+2,69+2,69+2,69+2,70+2
O. Mangala,22,178,78,Belgium,VfB Stuttgart,German 1. Bundesliga,72,80,4500000,15000,"CM, CDM",Right,1,3,3,Medium/Medium,Normal,Yes,9000000.0,NoTag,LCM,23.0,,2017-07-01,2023.0,,,72.0,51.0,71.0,76.0,69.0,69.0,Technical Dribbler (AI),63,41,52,76,50,76,59,50,70,78,75,70,73,72,81,64,66,75,68,61,67,69,62,77,42,72,,70,63,7,6,7,7,10,62+2,62+2,62+2,69+0,68+0,68+0,68+0,69+0,71+2,71+2,71+2,71+2,72+2,72+2,72+2,71+2,71+2,72+2,72+2,72+2,71+2,70+2,68+2,68+2,68+2,70+2
S. Özcan,22,180,74,Germany,1. FC Köln,German 1. Bundesliga,72,80,4500000,17000,"CM, CAM, CDM",Right,1,3,3,Medium/Medium,Normal,Yes,9000000.0,NoTag,SUB,21.0,,2016-07-01,2021.0,,,69.0,59.0,68.0,75.0,67.0,73.0,,54,61,53,75,50,75,55,53,71,76,74,65,78,66,78,64,55,82,71,52,73,62,61,74,57,69,,76,69,13,7,9,9,11,65+2,65+2,65+2,68+0,68+0,68+0,68+0,68+0,71+2,71+2,71+2,70+2,72+2,72+2,72+2,70+2,69+2,71+2,71+2,71+2,69+2,68+2,68+2,68+2,68+2,68+2
A. Nordin,22,170,69,France,AS Saint-Étienne,French Ligue 1,72,80,4600000,19000,"LM, RM",Left,1,4,3,Medium/Medium,Normal,No,10100000.0,NoTag,SUB,18.0,,2016-11-22,2022.0,,,80.0,67.0,66.0,74.0,36.0,57.0,Long Shot Taker (AI),65,69,67,70,52,74,65,44,65,74,81,80,71,66,78,72,63,63,64,65,31,33,70,68,55,58,,32,26,14,6,13,10,13,70+2,70+2,70+2,71+0,71+0,71+0,71+0,71+0,71+2,71+2,71+2,71+2,65+2,65+2,65+2,71+2,55+2,52+2,52+2,52+2,55+2,53+2,46+2,46+2,46+2,53+2
B. Celina,23,181,66,Kosovo,Dijon FCO,French Ligue 1,72,79,4400000,10000,"CAM, LM, LW",Right,1,3,4,Medium/Medium,Lean,No,9700000.0,NoTag,SUB,9.0,,2020-09-09,2024.0,,,76.0,69.0,70.0,75.0,25.0,58.0,Playmaker (AI),66,68,43,72,55,75,69,74,64,74,78,74,78,67,79,71,47,64,60,72,47,18,64,74,69,68,,27,15,9,15,16,10,8,67+2,67+2,67+2,72+0,71+0,71+0,71+0,72+0,72+2,72+2,72+2,71+2,65+2,65+2,65+2,71+2,51+2,49+2,49+2,49+2,51+2,47+2,38+2,38+2,38+2,47+2
C. Gruezo,25,171,67,Ecuador,FC Augsburg,German 1. Bundesliga,72,79,3900000,17000,"CDM, CM",Right,1,3,2,Low/High,Normal,No,7800000.0,NoTag,SUB,25.0,,2019-07-02,2024.0,,,63.0,46.0,61.0,66.0,69.0,74.0,,43,41,58,74,37,60,48,47,69,70,64,63,72,68,85,61,69,77,69,42,85,69,55,58,49,65,,73,70,9,10,12,12,11,58+2,58+2,58+2,59+0,60+0,60+0,60+0,59+0,62+2,62+2,62+2,62+2,66+2,66+2,66+2,62+2,67+2,71+2,71+2,71+2,67+2,67+2,70+2,70+2,70+2,67+2
A. Donis,23,178,77,Greece,Stade de Reims,French Ligue 1,72,79,4400000,17000,"ST, RM",Right,1,4,3,High/Low,Normal,No,9700000.0,NoTag,SUB,17.0,,2020-07-01,2024.0,SUB,11.0,86.0,69.0,59.0,79.0,25.0,65.0,"Flair, Speed Dribbler (AI)",57,70,61,68,63,80,53,41,50,80,88,85,75,72,77,70,69,72,63,66,61,20,69,56,69,61,,18,24,8,14,12,15,11,72+2,72+2,72+2,73+0,73+0,73+0,73+0,73+0,71+2,71+2,71+2,72+2,62+2,62+2,62+2,72+2,53+2,48+2,48+2,48+2,53+2,49+2,42+2,42+2,42+2,49+2
W. Anton,23,189,75,Germany,VfB Stuttgart,German 1. Bundesliga,72,79,4000000,14000,"CDM, CB",Right,1,3,3,Medium/Medium,Normal,Yes,8000000.0,NoTag,RCB,2.0,,2020-07-28,2024.0,,,66.0,46.0,57.0,65.0,74.0,75.0,,42,42,74,70,38,64,37,39,69,67,56,74,62,68,57,58,72,76,76,45,74,72,52,52,48,71,,77,73,11,12,12,13,13,59+2,59+2,59+2,58+0,60+0,60+0,60+0,58+0,61+2,61+2,61+2,61+2,65+2,65+2,65+2,61+2,68+2,71+2,71+2,71+2,68+2,69+2,74+2,74+2,74+2,69+2
E. Mor,22,169,64,Turkey,RC Celta,Spain Primera Division,72,79,4400000,14000,"RM, ST",Left,1,3,4,Medium/Low,Lean,Yes,10100000.0,Acrobat,SUB,11.0,,2017-08-29,2022.0,,,81.0,66.0,61.0,81.0,28.0,49.0,"Flair, Speed Dribbler (AI), Technical Dribbler (AI)",65,68,46,66,65,81,63,38,50,77,84,78,91,66,90,66,64,61,34,65,68,28,67,64,49,65,,21,29,13,10,7,13,6,66+2,66+2,66+2,73+0,71+0,71+0,71+0,73+0,71+2,71+2,71+2,71+2,62+2,62+2,62+2,71+2,54+2,48+2,48+2,48+2,54+2,50+2,40+2,40+2,40+2,50+2
I. Diallo,21,179,68,France,Stade Brestois 29,French Ligue 1,72,79,4000000,9000,"CDM, CM",Right,1,3,3,Medium/High,Lean,No,8800000.0,NoTag,SUB,6.0,,2019-07-08,2023.0,,,68.0,48.0,64.0,70.0,70.0,69.0,,52,41,59,71,36,69,52,39,72,70,73,63,71,68,77,55,62,74,64,54,78,73,57,68,64,67,,70,69,8,9,8,14,6,59+2,59+2,59+2,63+0,63+0,63+0,63+0,63+0,66+2,66+2,66+2,65+2,68+2,68+2,68+2,65+2,68+2,71+2,71+2,71+2,68+2,68+2,69+2,69+2,69+2,68+2
Heriberto Tavares,23,181,66,Portugal,Stade Brestois 29,French Ligue 1,72,79,4400000,13000,"RW, RM",Left,1,5,3,High/Medium,Lean,No,9700000.0,NoTag,RM,29.0,,2020-08-12,2024.0,,,81.0,72.0,61.0,76.0,30.0,65.0,"Finesse Shot, Technical Dribbler (AI)",61,69,61,63,67,76,73,70,50,76,79,82,79,73,75,82,56,74,63,72,59,22,69,61,70,70,,33,28,7,13,8,7,8,72+2,72+2,72+2,72+0,72+0,72+0,72+0,72+0,70+2,70+2,70+2,70+2,63+2,63+2,63+2,70+2,54+2,49+2,49+2,49+2,54+2,51+2,44+2,44+2,44+2,51+2
J. Brownhill,24,180,69,England,Burnley,English Premier League,72,78,4200000,30000,"CM, CDM",Right,1,3,3,Medium/Medium,Normal,No,8800000.0,NoTag,RM,8.0,,2020-01-30,2024.0,,,70.0,67.0,69.0,71.0,68.0,73.0,"Long Throw-in, Power Free-Kick, Long Shot Taker (AI)",65,63,66,71,50,69,63,70,68,73,68,72,70,72,71,78,82,89,66,74,70,72,70,69,40,69,,73,62,8,11,12,7,9,69+2,69+2,69+2,69+0,70+0,70+0,70+0,69+0,70+2,70+2,70+2,70+2,72+2,72+2,72+2,70+2,71+2,71+2,71+2,71+2,71+2,70+2,69+2,69+2,69+2,70+2
K. N'Doram,24,185,77,France,FC Metz,French Ligue 1,72,78,3900000,11000,"CDM, CM",Right,1,2,2,High/High,Normal,No,8600000.0,NoTag,RES,4.0,,2020-06-08,2024.0,,,64.0,48.0,61.0,69.0,70.0,80.0,,49,42,69,71,41,71,50,29,69,71,66,63,60,68,57,59,79,82,79,48,79,67,62,58,55,65,,72,70,11,12,14,9,12,61+2,61+2,61+2,62+0,63+0,63+0,63+0,62+0,64+2,64+2,64+2,65+2,67+2,67+2,67+2,65+2,68+2,71+2,71+2,71+2,68+2,68+2,72+2,72+2,72+2,68+2
E. Kwateng,23,181,75,France,FC Girondins de Bordeaux,French Ligue 1,72,78,3800000,17000,"RB, RM",Right,1,2,2,Medium/Medium,Lean,No,8000000.0,NoTag,SUB,25.0,,2019-07-01,2023.0,,,65.0,36.0,63.0,68.0,73.0,64.0,Early Crosser,69,32,69,69,42,68,48,31,66,70,64,65,69,68,62,43,64,69,62,38,64,76,38,56,37,61,,74,72,6,15,15,15,13,53+2,53+2,53+2,60+0,57+0,57+0,57+0,60+0,60+2,60+2,60+2,63+2,64+2,64+2,64+2,63+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2
J. Gélin,23,183,79,France,Stade Rennais FC,French Ligue 1,72,78,3800000,23000,"CB, CDM",Right,1,3,2,Medium/Medium,Normal,No,8000000.0,NoTag,SUB,26.0,,2017-07-01,2022.0,,,58.0,36.0,59.0,62.0,72.0,73.0,Long Passer (AI),44,30,68,70,30,58,52,33,67,68,53,62,55,73,59,52,72,69,75,35,73,71,26,58,48,71,,75,71,8,11,7,12,14,52+2,52+2,52+2,53+0,54+0,54+0,54+0,53+0,57+2,57+2,57+2,57+2,63+2,63+2,63+2,57+2,66+2,70+2,70+2,70+2,66+2,67+2,72+2,72+2,72+2,67+2
S. Grandsir,23,170,65,France,AS Monaco,French Ligue 1,72,78,4300000,27000,"LM, RM",Right,1,3,3,Medium/Low,Stocky,No,9000000.0,Acrobat,RES,35.0,,2018-07-01,2023.0,,,87.0,61.0,70.0,75.0,44.0,63.0,"Flair, Speed Dribbler (AI)",72,59,58,72,56,74,74,59,70,70,89,85,90,65,90,71,69,69,57,57,67,45,64,65,50,67,,39,47,12,13,7,11,5,66+2,66+2,66+2,71+0,69+0,69+0,69+0,71+0,70+2,70+2,70+2,71+2,66+2,66+2,66+2,71+2,62+2,58+2,58+2,58+2,62+2,60+2,53+2,53+2,53+2,60+2
Francis,24,174,72,Spain,Real Betis,Spain Primera Division,72,78,4300000,14000,"RM, RWB, RB",Right,1,3,3,Medium/Medium,Normal,Yes,9900000.0,NoTag,SUB,26.0,,2016-07-01,2023.0,,,80.0,59.0,68.0,72.0,65.0,59.0,,74,67,45,70,52,72,67,51,64,69,82,79,77,70,78,59,51,68,55,45,59,65,67,66,50,55,,68,67,11,14,9,12,6,65+2,65+2,65+2,70+0,68+0,68+0,68+0,70+0,69+2,69+2,69+2,71+2,67+2,67+2,67+2,71+2,70+2,67+2,67+2,67+2,70+2,69+2,63+2,63+2,63+2,69+2
Javi Galán,25,172,70,Spain,SD Huesca,Spain Primera Division,72,77,3600000,15000,"LB, LM",Left,1,2,3,High/Medium,Normal,No,8200000.0,NoTag,SUB,11.0,,2019-01-29,2022.0,,,78.0,53.0,69.0,69.0,65.0,64.0,Technical Dribbler (AI),73,50,70,76,49,67,68,66,68,68,79,78,78,72,76,61,64,76,62,53,54,67,58,56,48,67,,65,67,14,14,10,6,8,63+2,63+2,63+2,67+0,65+0,65+0,65+0,67+0,66+2,66+2,66+2,69+2,67+2,67+2,67+2,69+2,70+2,67+2,67+2,67+2,70+2,70+2,65+2,65+2,65+2,70+2
R. Sallai,23,182,77,Hungary,SC Freiburg,German 1. Bundesliga,72,77,4200000,15000,"RM, LM",Right,1,4,3,Medium/Medium,Normal,Yes,7900000.0,NoTag,RM,22.0,,2018-08-31,2022.0,LM,20.0,70.0,66.0,67.0,75.0,37.0,59.0,,69,69,49,72,67,76,49,45,62,75,75,65,72,67,71,64,63,59,58,63,59,39,71,69,56,63,,37,38,7,5,11,14,9,67+2,67+2,67+2,71+0,70+0,70+0,70+0,71+0,71+2,71+2,71+2,71+2,66+2,66+2,66+2,71+2,57+2,55+2,55+2,55+2,57+2,53+2,48+2,48+2,48+2,53+2
Luca Sangalli,25,167,74,Spain,Real Sociedad,Spain Primera Division,72,77,4100000,18000,"CM, CAM, RM",Right,1,3,3,High/Medium,Stocky,No,8900000.0,NoTag,SUB,23.0,,2018-08-14,2022.0,,,76.0,64.0,70.0,75.0,61.0,63.0,Speed Dribbler (AI),69,65,49,77,56,77,60,36,77,73,75,77,68,68,79,60,61,69,60,70,61,63,72,65,40,66,,65,55,14,6,11,9,11,67+2,67+2,67+2,72+0,71+0,71+0,71+0,72+0,72+2,72+2,72+2,73+2,72+2,72+2,72+2,73+2,68+2,68+2,68+2,68+2,68+2,66+2,62+2,62+2,62+2,66+2
C. Robinson,25,178,75,Republic of Ireland,West Bromwich Albion,English Premier League,72,76,4100000,52000,"ST, LM, LW",Right,1,3,3,Medium/Medium,Normal,Yes,8500000.0,NoTag,ST,7.0,,2020-09-09,2025.0,SUB,12.0,84.0,72.0,65.0,74.0,34.0,60.0,,69,76,63,65,59,74,57,55,52,73,85,83,82,71,68,70,47,65,65,68,46,25,74,73,61,68,,21,21,14,7,10,14,15,72+2,72+2,72+2,74+0,73+0,73+0,73+0,74+0,72+2,72+2,72+2,72+2,63+2,63+2,63+2,72+2,54+2,50+2,50+2,50+2,54+2,51+2,44+2,44+2,44+2,51+2
A. Barreca,25,183,70,Italy,AS Monaco,French Ligue 1,72,76,3500000,27000,"LB, LM",Left,1,2,2,High/Medium,Lean,Yes,6900000.0,NoTag,RES,45.0,,2018-07-10,2023.0,,,75.0,34.0,62.0,72.0,69.0,66.0,Speed Dribbler (AI),75,21,65,65,33,72,70,21,57,72,73,76,74,69,76,53,66,70,65,42,62,69,58,58,22,66,,73,71,11,7,9,13,15,56+2,56+2,56+2,63+0,61+0,61+0,61+0,63+0,62+2,62+2,62+2,66+2,64+2,64+2,64+2,66+2,71+2,67+2,67+2,67+2,71+2,70+2,68+2,68+2,68+2,70+2
Walace,25,188,75,Brazil,Udinese,Italian Serie A,72,76,3600000,11000,"CDM, CM",Right,1,3,3,Medium/High,Normal,Yes,6800000.0,NoTag,SUB,11.0,,2019-08-12,2024.0,,,65.0,66.0,66.0,67.0,67.0,72.0,Dives Into Tackles (AI),48,58,60,76,68,66,55,52,74,72,66,64,60,70,66,78,55,66,74,74,80,72,56,69,60,72,,66,64,10,13,7,14,11,66+2,66+2,66+2,65+0,67+0,67+0,67+0,65+0,68+2,68+2,68+2,66+2,70+2,70+2,70+2,66+2,66+2,71+2,71+2,71+2,66+2,66+2,69+2,69+2,69+2,66+2
R. Andrich,25,189,83,Germany,1. FC Union Berlin,German 1. Bundesliga,72,75,3800000,20000,"CM, CDM",Right,1,3,3,High/Medium,Normal,No,7100000.0,NoTag,LDM,30.0,,2019-07-01,2022.0,,,59.0,63.0,73.0,69.0,69.0,77.0,"Playmaker (AI), Outside Foot Shot",69,56,69,76,45,69,76,75,73,73,64,55,59,72,57,78,81,77,78,68,75,72,67,68,58,69,,70,68,7,9,10,13,15,67+2,67+2,67+2,67+0,68+0,68+0,68+0,67+0,69+2,69+2,69+2,69+2,72+2,72+2,72+2,69+2,70+2,72+2,72+2,72+2,70+2,69+2,71+2,71+2,71+2,69+2
G. Poblete,27,173,63,Argentina,FC Metz,French Ligue 1,72,75,3400000,13000,"CDM, CM",Right,1,3,2,Low/High,Normal,No,7100000.0,NoTag,SUB,24.0,,2017-07-05,2021.0,,,67.0,51.0,65.0,73.0,68.0,72.0,,52,47,50,74,41,73,55,40,72,72,66,67,74,66,83,60,74,84,64,55,74,71,43,64,54,66,,72,68,6,12,13,6,8,58+2,58+2,58+2,63+0,62+0,62+0,62+0,63+0,65+2,65+2,65+2,65+2,69+2,69+2,69+2,65+2,69+2,71+2,71+2,71+2,69+2,68+2,68+2,68+2,68+2,68+2
M. Hartel,24,177,68,Germany,DSC Arminia Bielefeld,German 1. Bundesliga,72,75,3900000,15000,"CAM, CM, LW",Right,1,4,3,High/High,Lean,No,7300000.0,Engine,LCM,30.0,,2019-07-27,2022.0,,,68.0,64.0,69.0,77.0,31.0,60.0,"Playmaker (AI), Technical Dribbler (AI)",61,61,45,74,67,77,68,52,68,76,77,61,84,71,81,69,56,93,47,66,52,35,67,73,48,62,,28,27,14,15,8,10,12,65+2,65+2,65+2,71+0,70+0,70+0,70+0,71+0,72+2,72+2,72+2,72+2,69+2,69+2,69+2,72+2,57+2,55+2,55+2,55+2,57+2,52+2,42+2,42+2,42+2,52+2
P. Mwene,26,170,68,Austria,1. FSV Mainz 05,German 1. Bundesliga,72,74,3300000,18000,"RB, RM, RWB",Right,1,4,3,High/Medium,Normal,No,6200000.0,NoTag,SUB,23.0,,2018-07-01,2021.0,,,76.0,44.0,61.0,71.0,64.0,62.0,,73,44,39,68,34,69,53,46,53,69,83,71,83,65,91,50,72,84,52,39,59,67,57,48,42,64,,64,74,12,9,11,9,7,56+2,56+2,56+2,64+0,61+0,61+0,61+0,64+0,62+2,62+2,62+2,66+2,62+2,62+2,62+2,66+2,71+2,65+2,65+2,65+2,71+2,70+2,63+2,63+2,63+2,70+2
A. Schöpf,26,178,74,Austria,FC Schalke 04,German 1. Bundesliga,72,74,3700000,19000,"CM, RM, RWB",Right,1,4,3,High/High,Lean,Yes,6600000.0,Engine,RCM,28.0,,2016-01-09,2021.0,,,69.0,69.0,71.0,75.0,63.0,71.0,,71,70,44,75,65,76,69,61,67,75,74,64,74,72,76,68,62,91,65,70,64,65,71,68,64,71,,64,56,13,6,13,11,10,68+2,68+2,68+2,72+0,71+0,71+0,71+0,72+0,72+2,72+2,72+2,73+1,72+2,72+2,72+2,73+1,71+2,69+2,69+2,69+2,71+2,68+2,63+2,63+2,63+2,68+2
Pelé,28,182,78,Guinea Bissau,AS Monaco,French Ligue 1,72,73,3100000,30000,"CDM, CM",Right,1,3,3,Low/High,Normal,No,6100000.0,NoTag,RES,23.0,,2018-07-06,2023.0,,,71.0,60.0,65.0,69.0,70.0,79.0,Long Passer (AI),59,50,64,68,58,69,54,65,74,69,66,75,67,70,63,73,71,79,80,65,77,67,60,62,74,74,,72,66,14,12,10,12,5,65+2,65+2,65+2,65+0,65+0,65+0,65+0,65+0,66+2,66+2,66+2,67+2,68+2,68+2,68+2,67+2,69+2,71+2,71+2,71+2,69+2,69+2,71+2,71+2,71+2,69+2
C. Doukouré,27,180,82,Ivory Coast,Levante UD,Spain Primera Division,72,73,3200000,15000,"CDM, CM",Right,1,3,3,Medium/Medium,Normal,Yes,7000000.0,NoTag,SUB,27.0,,2017-08-04,2021.0,,,67.0,62.0,65.0,67.0,72.0,76.0,"Injury Prone, Dives Into Tackles (AI)",59,58,69,72,52,64,57,59,65,70,69,66,68,65,70,72,75,74,77,64,77,73,64,63,58,65,,74,73,15,15,15,10,11,66+2,66+2,66+2,65+0,66+0,66+0,66+0,65+0,66+2,66+2,66+2,66+2,68+2,68+2,68+2,66+2,69+2,71+2,71+2,71+2,69+2,70+2,72+1,72+1,72+1,70+2
S. Sturaro,27,181,80,Italy,Genoa,Italian Serie A,72,73,3500000,13000,CM,Right,2,3,3,High/High,Normal,Yes,6600000.0,NoTag,SUB,27.0,,2019-02-06,2022.0,,,68.0,67.0,70.0,72.0,75.0,75.0,Dives Into Tackles (AI),66,55,68,74,74,73,64,64,72,74,69,68,70,68,65,78,65,70,74,77,86,74,73,68,68,73,,77,76,15,10,5,14,11,69+2,69+2,69+2,70+0,70+0,70+0,70+0,70+0,71+2,71+2,71+2,70+2,72+1,72+1,72+1,70+2,72+1,74+,74+,74+,72+1,72+1,75+,75+,75+,72+1
